English,Arabic,,,,,,
TASMU Approval Tasks,"مهام برنامج ""تسمو"" الخاصة بالاعتماد ",,,,,,
TASMU Products,"منتجات برنامج ""تسمو""",,,,,,
TASMU Videos,"مقاطع الفيديو ذات الصلة ببرنامج ""تسمو""",,,,,,
TASMU Generic Master,"الرئيس العام لبرنامج ""تسمو""",,,,,,
TASMU Announcements,"إعلانات برنامج ""تسمو""",,,,,,
TASMU News Articles,"المقالات الإخبارية ذات الصلة ببرنامج ""تسمو""",,,,,,
TASMU Entities,"الجهات التي يتواصل معها برنامج ""تسمو""",,,,,,
TASMU Sponsors,"الجهات الراعية لبرنامج ""تسمو""",,,,,,
TASMU Campaigns,"الحملات ذات الصلة ببرنامج ""تسمو""",,,,,,
TASMU Translation Tasks,"مهام برنامج ""تسمو"" الخاصة بالترجمة",,,,,,
TASMU Events,"فعاليات برنامج ""تسمو""",,,,,,
TASMU Contacts,"جهات الاتصال لدى برنامج ""تسمو""",,,,,,
TASMU Generic Pages,"الصفحات العامة لبرنامج ""تسمو"" ",,,,,,
TASMU Projects,"مشاريع برنامج ""تسمو""",,,,,,
TASMU Generic Page,"الصفحة العامة لبرنامج ""تسمو"" ",,,,,,
TASMU Product Assets,"الأصول الإنتاجية لبرنامج ""تسمو""",,,,,,
TASMU Documents,"المستندات ذات الصلة ببرنامج ""تسمو""",,,,,,
TASMU Hero Web,"الهيرو ويب الخاص ببرنامج ""تسمو"" ",,,,,,
TASMU Media Assets,"الأصول الإعلامية لبرنامج ""تسمو""",,,,,,
TASMU Hero Mobile,"الهيرو موبيل  الخاص ببرنامج ""تسمو"" ",,,,,,
About,"حول ""التعريف""",,,,,,
Approvers,المعتمدون,,,,,,
Attendees,الحضور,,,,,,
Caption,الشرح,,,,,,
Entity,الجهة,,,,,,
FaxNumber,رقم الفاكس,,,,,,
GeoLocation,الموقع الجغرافي,,,,,,
ImageCopyright,حقوق النشر,,,,,,
Link,الرابط,,,,,,
Sector,القطاع,,,,,,
Sensitivity,الحساسية,,,,,,
Translation,الترجمة,,,,,,
Translators,المترجمون,,,,,,
Public Documents,المستندات العامة,,,,,,
News Articles,المقالات الإخبارية,,,,,,
Hero Web,الهيرو ويب,,,,,,
Generic Master,الرئيس العام,,,,,,
My Tasks,المهام الموكلة إليّ,,,,,,
Events List,قائمة الفعاليات,,,,,,
Entities,الجهات,,,,,,
Announcements,الإعلانات,,,,,,
Sponsors,الجهات الراعية,,,,,,
Media Assets,الأصول الإعلامية,,,,,,
Projects,المشاريع,,,,,,
Videos,مقاطع الفيديو,,,,,,
Products,المنتجات,,,,,,
Generic Pages,الصفحات العامة,,,,,,
Contacts,جهات الاتصال,,,,,,
Campaigns,الحملات,,,,,,
Hero Mobile,الهيرو موبايل,,,,,,
Product Assets,الأصول الإنتاجية ,,,,,,
This list stores content type publishing error information for this site.,تخزن هذه القائمة معلومات أخطاء نشر نوع المحتوى الخاصة بهذا الموقع.,,,,,,
Approved Date,تاريخ الاعتماد,,,,,,
Approver Comments,تعليقات المعتمدون,,,,,,
Content Status,حالة المحتوى,,,,,,
Product:Arabic Product Name,المنتج: اسم المنتج باللغة العربية,,,,,,
Product:Arabic Product Short Description,المنتج: وصف مختصر للمنتج باللغة العربية,,,,,,
Product:Product Id,المنتج: معرف المنتج,,,,,,
Product:Product Short Description,المنتج: وصف مختصر للمنتج,,,,,,
Product,المنتج,,,,,,
Requires Approval,يتطلب اعتماده,,,,,,
Arabic Long Description,وصف مفصّل باللغة العربية ,,,,,,
Arabic Short Description,وصف موجز باللغة العربية,,,,,,
Arabic Title,العنوان باللغة العربية,,,,,,
Channel,القناة,,,,,,
Categories,التصنيفات,,,,,,
Published,تم النشر,,,,,,
Content Tier,مستوى المحتوى,,,,,,
Enterprise Keywords,الكلمات الرئيسية للمرفق,,,,,,
Location,الموقع ,,,,,,
Long Description,الوصف المفصّل,,,,,,
Personas,الأفراد,,,,,,
Requires Translation,يتطلب ترجمته,,,,,,
Sector Arabic Title,عنوان القطاع باللغة العربية,,,,,,
Sector ID,معرف القطاع,,,,,,
Sectors,القطاعات,,,,,,
Short Description,الوصف المختصر,,,,,,
Taxonomy Catch All Column,"عمود تصنيف جميع المآخذ ""Taxonomy Catch All Column""",,,,,,
Arabic About,"حول ""التعريف"" باللغة العربية",,,,,,
Arabic Address,العنوان باللغة العربية,,,,,,
Business Phone,الهاتف الخاص بالأعمال,,,,,,
Address,العنوان,,,,,,
Web Page,صفحة الويب,,,,,,
Fax Number,رقم الفاكس,,,,,,
Mobile Number,رقم الجوال ,,,,,,
Arabic Product Long Description,الوصف المفصّل للمنتج باللغة العربية,,,,,,
Arabic Product Name,اسم المنتج باللغة العربية,,,,,,
Arabic Product Short Description,الوصف المختصر للمنتج باللغة العربية,,,,,,
Prduct Name,اسم المنتج ,,,,,,
Product Id,معرف المنتج,,,,,,
Product Long Description,وصف مفصّل للمنتج,,,,,,
Product Reference URL,"العنوان ""URL"" المرجعي الخاص بالمنتج",,,,,,
Product Short Description,الوصف المختصر للمنتج,,,,,,
The description for the hidden list for the taxonomy feature.,وصف القائمة المخفية لخاصية التصنيف.,,,,,,
TaxonomyHiddenList,القائمة المخفية للتصنيف,,,,,,
Item,البند,,,,,,
Task Comments,التعليقات المُبداة على المهمة,,,,,,
Status,الحالة,,,,,,
Task Status Internal,حالة المهمة الداخلية,,,,,,
Arabic Sponsor Name,اسم الجهة الراعية باللغة العربية ,,,,,,
Sponsor Name,اسم الجهة الراعية,,,,,,
Picture,الصورة,,,,,,
Thumbnail Image,الصورة المصغرة,,,,,,
